Sr_No,Expert_A_Label,Expert_B_Label,Expert_A_Round2_Label,Expert_B_Round2_Label
2217,Healthy,Healthy,Healthy,Healthy
2587,Healthy,Healthy,Healthy,Healthy
3121,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
788,Black Rot,Black Rot,Black Rot,Black Rot
34,Black Rot,Black Rot,Black Rot,Black Rot
2742,Healthy,Healthy,Healthy,Healthy
258,Black Rot,Black Rot,Black Rot,Black Rot
444,Black Rot,Black Rot,Black Rot,Black Rot
3420,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2081,Healthy,Healthy,Healthy,Healthy
680,Black Rot,Black Rot,Black Rot,Black Rot
1607,Esca,Esca,Esca,Esca
2598,Healthy,Healthy,Healthy,Healthy
2257,Healthy,Healthy,Healthy,Healthy
568,Black Rot,Black Rot,Black Rot,Black Rot
197,Black Rot,Black Rot,Black Rot,Black Rot
3471,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1042,Esca,Esca,Esca,Esca
2830,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2757,Healthy,Healthy,Healthy,Healthy
1500,Esca,Esca,Esca,Esca
606,Black Rot,Black Rot,Black Rot,Black Rot
3422,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1617,Esca,Esca,Esca,Esca
2224,Healthy,Healthy,Healthy,Healthy
296,Black Rot,Black Rot,Black Rot,Black Rot
3092,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2728,Healthy,Healthy,Healthy,Healthy
2440,Healthy,Healthy,Healthy,Healthy
3477,Black Rot,Leaf Blight,Leaf Blight,Leaf Blight
3250,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
3198,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
2980,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
3197,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
681,Black Rot,Black Rot,Black Rot,Black Rot
2149,Healthy,Healthy,Healthy,Healthy
1214,Esca,Esca,Esca,Esca
3085,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
3429,Leaf Blight,Leaf Blight,Leaf Blight,Leaf Blight
1539,Esca,Esca,Esca,Esca
292,Black Rot,Black Rot,Black Rot,Black Rot
1928,Healthy,Esca,Healthy,Healthy
565,Healthy,Black Rot,Black Rot,Black Rot
